"date","All School","Board of Education of the City of Chicago","Clark County School District (NV)","Los Angeles Unified School District (CA)","School District of Miami-Dade County","Houston Independent School District (TX)"
2018-01-02,100,100,100,100,100,100
2018-01-08,100.044487163161,101.891324235975,97.9214658667862,98.9415265808209,98.264560149137,101.50961744091
2018-01-16,99.3657444166757,102.416863446054,96.633227416239,97.4668131592511,97.3436255776194,100.711716170996
2018-01-22,98.0650910364507,102.772852818849,94.8187008260264,95.5726539406347,96.0169569482872,98.6893337622686
2018-01-29,94.8142313090966,100.950584458754,93.2721231529233,92.3481448675138,92.3833139285138,90.9455340983007
2018-02-05,93.2041044096563,100.219130562483,91.7892922407525,89.5583918557553,88.9043044015627,88.6566147360117
2018-02-12,92.1105466603021,98.6520033391793,90.4322449838323,88.0130419557648,84.8164923533771,86.9394116064055
2018-02-20,93.2006905107755,99.9376636442735,88.8941559632424,88.9101784111755,84.9386390971994,88.414969652198
2018-02-26,93.2639310967682,99.9686047348945,87.5942826178122,90.9210996892154,85.2139224153609,86.8859460852279
2018-03-05,92.5249168045262,98.7647759875048,88.1332370938755,91.3223142958366,86.5497022053634,84.156983176531
2018-03-12,91.6319177894863,97.428528929035,89.7266306846448,90.7994541266477,84.4316298022309,82.1496063941649
2018-03-19,90.6209121270994,96.088012949785,89.962115391581,88.4079872675152,83.0903414686722,81.1347981764682
2018-03-26,90.4801713785159,96.2221710499805,89.1047490996727,88.7694854245532,83.0234424356129,83.1733402839673
2018-04-02,88.7603048222219,95.1809827880773,85.5629454292105,88.3260030361802,83.9574279789533,83.9013011267599
2018-04-09,87.7744511181098,94.8154605830907,84.9358558716077,89.0798103142367,84.6308974432914,84.2051663273739
2018-04-16,86.1058767867123,94.2644598032894,85.1216749019969,86.7186710022731,82.8289290311739,81.7275650136259
2018-04-23,85.8990967397229,93.8687764667716,86.0246697831103,85.4385518408838,81.9296039666954,81.3080552096963
2018-04-30,86.3266649302772,93.4443288531554,85.9487999054861,86.5741118695447,81.9586340375338,80.1494475842424
2018-05-07,87.3757277636157,92.9591843122037,86.1197187525045,88.2978223722367,83.4628111935637,83.4318060885146
2018-05-14,88.2610066613481,92.7021490794613,88.5236316596137,89.7310706154229,84.2151290980333,82.6586127758431
2018-05-21,88.4202892291713,92.6230093546149,88.4829987430575,89.9269881425518,85.5307294561378,82.6091209648155
2018-05-29,89.4235806470202,92.0702587336239,89.7574518480959,91.9335186994142,88.0403190532118,83.6154863087663
2018-06-04,90.5479708050868,92.9148289031073,88.1446621530858,94.4231684525485,90.1064598465573,84.350801416507
2018-06-11,90.6054885982858,92.2673879673778,88.6405384739494,94.7744376916982,90.2740935010266,83.8114476327317
2018-06-18,90.6008841872443,94.5774559552418,86.6791887248312,94.0732578358835,90.4624898020374,80.786647055866
2018-06-25,89.6633579654484,94.0069063574523,87.2848820150049,91.2808074646467,90.1115464147552,79.916961843198
2018-07-02,90.4914310047772,95.1921214363084,88.1923178237475,91.2233433210349,90.9536744294359,82.2538845566185
2018-07-09,91.3471788030861,95.3031807562273,89.8660341253552,92.1273724023398,91.5188607041585,84.3477170165015
2018-07-16,93.2832503298373,96.7085421223285,90.5137171819491,95.290044559881,93.2861180519904,87.8489205969266
2018-07-23,93.3291291812684,97.6670925684394,89.8719430236813,95.4493632067715,91.6855001615921,87.5086587095757
2018-07-30,92.8418361700087,97.5446733081276,89.0440830963248,95.4501175341681,91.267680722543,85.4565807588303
2018-08-06,92.266293560166,97.7655679073888,88.8656534075814,95.2072568701097,91.1213829301937,81.7066010965233
2018-08-13,92.7841017824745,98.4460903170012,88.9232253486582,96.1458091810735,95.0278404978025,80.0979637950662
2018-08-20,92.8036005653684,98.2633220483598,89.403537874027,96.0901578562947,95.4696818340198,79.6092148200054
2018-08-27,92.291152828139,98.1551874189977,88.966522153517,95.2480319350241,94.480337108799,79.1061119255272
2018-09-04,90.7443015100968,96.6470595199628,87.918303673057,93.0824887763433,91.7200320731929,78.376590029291
2018-09-10,88.4017786099687,95.9429402633195,85.5811982173611,89.9132532322647,88.9931940299279,75.0514040520811
2018-09-17,86.020758455187,94.7233502926568,83.1460471003178,86.731683901367,87.6305667711308,71.5949778718115
2018-09-24,84.018250973915,94.3253108794406,82.0796697802419,84.7651470127246,85.4404403265628,65.9363280804406
2018-10-01,81.9896081226202,92.9106646089505,80.5492638306554,81.121941705661,82.693121520144,65.0540402656925
2018-10-09,80.5700640829709,91.8917800506195,78.9841574869414,77.9217273204388,81.4690816567104,65.8803621734673
2018-10-15,79.5596092151739,91.4056789904865,77.1794371505503,75.6349184380358,80.8529169864518,66.8014013212032
2018-10-22,79.206211187253,92.1159056700687,76.1498403990799,75.8927293968779,82.6816735283738,64.3479982517762
2018-10-29,78.4025921170069,92.847062750489,75.7107338517378,75.041819534603,81.505865821378,60.9743206778835
2018-11-05,77.688168525188,92.8345288583009,74.909662875675,73.8707973601483,81.1284866872149,59.3098815652172
2018-11-13,78.3455195182943,93.1195088299413,75.832751679019,73.7662417479532,81.1794861670231,60.5964373639657
2018-11-19,79.591228419215,93.7424729056846,77.1633899306095,74.4636982975148,83.4284286866875,62.6583308122068
2018-11-26,82.2538012979364,94.3698197680621,79.9034970008884,76.4746764561443,87.6716904318217,68.0586782784654
2018-12-03,83.8355348245934,93.70733582972,82.2719679163556,76.9966439956133,91.678679144463,72.207245205448
2018-12-10,85.554649589597,93.1409295869549,83.9856871247119,79.3138408008158,94.4348557022931,75.092159396015
2018-12-17,86.5346970902803,93.6250412153181,85.6087090565967,79.8278610429294,96.1544514572671,76.6303351461789
2018-12-24,88.2585395287634,95.369251695069,87.1585739806607,81.5370463740106,98.6464320388143,77.810576268611
2019-01-02,91.2120758909007,96.4858995259252,90.1610899567875,83.456767155724,101.863789649577,83.9860955807413
2019-01-08,92.758062043921,97.3653076399848,93.2349888470886,83.6008018836054,104.497077171842,86.6785030158073
2019-01-15,94.1119614328975,98.261463568583,95.2793615583184,84.7893833318992,106.508270217256,87.2384014957655
2019-01-22,94.7639321201252,99.6163773668118,96.6455431374081,85.6603195992972,109.112442092709,84.1310037536464
2019-01-29,97.3701772037882,101.017728209586,97.5433776095339,89.7196152937019,111.196852237692,86.4707005336997
2019-02-05,99.8631922746597,102.663435671547,99.664706130568,92.3626290874684,112.385113390196,90.2463529185351
2019-02-12,100.674610224497,102.483128708059,100.958875698707,92.6882616550076,113.794515385809,92.017730026258
2019-02-19,101.073429822715,102.120427381639,102.338776035832,92.1784145997852,114.686862445415,92.8001008360781
2019-02-26,101.186280451199,101.509265825112,103.335300680856,91.1814569444437,116.552272051076,93.4848883951191
2019-03-05,102.081457154508,102.325417959161,105.354962684279,91.4708053744313,117.610069555668,94.4215563379438
2019-03-12,103.511947632532,103.949594039823,107.426746414358,92.0468118266601,118.57619699149,96.435260653949
2019-03-19,105.765321305082,103.861809728413,110.328184832713,94.3181350929821,120.474317554825,100.900851206952
2019-03-26,107.486760260335,105.447799815923,112.585096289697,95.8182774002705,120.927070486011,102.194684587792
2019-04-02,107.192220532425,104.799816704518,114.087905150423,96.092850882091,124.304410250612,95.3000621710193
2019-04-09,106.939994077191,105.917435782045,114.287628320877,94.8409128957155,122.163055307649,93.257528723867
2019-04-16,107.19381896112,105.40569885134,115.708528624065,93.5259397392266,122.396113633417,94.7010711574269
2019-04-23,108.734413961322,106.167765476531,117.381956108614,93.0210144544131,122.213181605448,102.14080444647
2019-04-30,110.504690038429,106.827088405723,119.940209824775,94.7726699215074,126.699198359364,103.091819169756
2019-05-07,113.217852033203,107.136888568124,122.653975806222,97.8448656757608,131.380239806166,106.921531472587
2019-05-14,115.552455791188,108.857253239756,124.560334553026,100.923544406961,132.275341587783,108.89090752951
2019-05-21,117.123196133403,110.788431880088,126.162432288156,101.772622517955,135.802977526884,111.392571439641
2019-05-28,118.070488886513,112.316878536281,127.065398966791,102.730451928097,137.542262509373,111.47292372998
2019-06-04,119.927120897322,115.647281072053,129.172727883912,103.488459678792,141.998608354417,112.852767017867
2019-06-11,119.910381858562,116.073273347394,129.832664817373,100.911546891839,143.52971253994,114.96118557297
2019-06-18,120.323458588543,117.09000821051,131.098503890493,98.8973180281365,146.168815069578,116.042688172496
2019-06-25,119.355246886734,112.551669667474,132.031182940433,97.2614454114401,145.814541080377,116.954959581903
2019-07-02,121.301000648173,112.956226871624,133.116125087437,101.022212993929,146.011660075159,116.424041419817
2019-07-09,122.333168596528,112.582275370415,134.042586079139,102.962122735606,146.893190714623,117.469983593545
2019-07-16,123.621829320161,113.802253808766,134.417896022897,105.105947383013,148.83459083402,118.392060628586
2019-07-23,125.285390313899,114.739022141292,136.530029611139,107.696939523243,151.517799592663,119.766915579279
2019-07-30,128.300099181847,116.398998170517,139.713585656965,112.412634209342,153.992045901399,121.125512271114
2019-08-06,131.784045699208,116.9699768879,145.282045332066,116.962546537072,158.537688925593,123.991147331108
2019-08-13,133.725329395404,116.965187650664,147.724747119311,119.326187223586,162.11514488139,126.275744990189
2019-08-20,134.367555258255,117.671473902594,149.03292139229,119.367224408204,161.946204715881,127.996545393295
2019-08-27,134.341085500465,118.887620830128,147.14073358526,119.438927530978,159.861528416837,128.029633895982
2019-09-03,132.543020650161,120.259235061767,145.216435187098,115.825411378872,156.340901407024,125.569686829931
2019-09-10,129.405541665751,117.906251185917,141.283137629531,112.15693941785,152.351165933245,122.899744139177
2019-09-17,127.920762324987,118.851285469637,138.651800678022,109.630433575508,151.185380690826,121.525239187205
2019-09-24,129.09755650881,120.036468001081,138.76089637642,111.51533186396,150.441402279873,124.299358476187
