"date","All County","Bexar County (TX)","Clark County (NV)","Fairfax County (VA)","Harris County (TX)","Wake County (NC)","Allegheny County (PA)","Cook County (IL)","Hennepin County (MN)","King County (WA)","Salt Lake County (UT)","Travis County (TX)","Mecklenburg County (NC)","Franklin County (OH)","Tarrant County (TX)"
2018-01-02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2018-01-08,99.2588364657676,101.232900272474,96.5685091774229,101.019636034698,98.4640303224087,98.2642245741122,106.99797268298,101.799504453198,105.507198652346,98.0109823383456,87.3677348312631,101.178314455211,95.95371463983,99.7067641309457,93.689333927585
2018-01-16,98.6875959633645,101.597594334857,94.2129217703644,101.690694000117,97.2721813671008,97.0761246504755,109.294632960647,102.617728182998,108.129908900157,97.3347760045401,80.1695231020572,102.014262611025,93.7273847295107,99.5785883356509,90.8367918838877
2018-01-22,97.0471680239243,101.282970463671,91.8128315010762,99.3343326065603,93.143123611463,94.3820634664835,109.341570109551,101.637779787758,108.000134631533,95.0873271721986,78.8790416256475,102.217006526349,89.1941825494992,95.5143529296589,91.442373868908
2018-01-29,94.997402984217,98.1998863657934,89.0197776366463,97.5282420281076,92.1450012051125,91.5982579530276,104.39540954164,100.511252392872,105.671098958212,92.954323440815,77.1089453843157,102.017590744978,89.1139960657759,93.3553932105001,91.3559392963549
2018-02-05,92.7845031201633,96.2392057763764,85.297938629957,95.3321082678079,89.897734993953,88.3753534605368,102.366470463819,98.70438030023,104.763426065062,91.2015277966785,76.2519699366231,100.7751524543,84.9158013139548,91.4757910077589,89.6190094781219
2018-02-12,91.6716669414463,95.9707706446627,82.5851763710761,96.9422889033323,89.241920829662,88.017087289983,98.2714412502665,98.336689505081,103.864718716197,90.1615095038923,74.7333205506197,99.719733538462,82.7267658888844,94.047354547626,87.8577159166525
2018-02-20,91.1815671370513,97.2113255343698,81.9315156010671,96.4188088143568,89.1286922316959,86.0862877834574,98.6247927049355,96.6834423940236,105.949414338237,88.2375890717981,75.3967082247324,98.8864132111025,80.4169872913738,98.0754176268212,87.1289929036915
2018-02-26,91.0753113174273,97.3291601654318,82.8728441865464,95.2483718707565,89.1806893864753,86.7890652400316,98.9846765812715,96.2351150331328,105.016354372032,86.4496555608681,74.5339934506465,97.6954361513509,80.8357930245917,99.7281591863077,87.6023202068118
2018-03-05,91.2245801039192,96.0656628345018,84.8957672630993,92.3696955205327,89.3456070282611,86.0062983473053,100.673035306463,97.2001352922588,104.768816596365,86.1975335438887,73.5774031501496,97.9317877966551,80.7422323404593,98.9213062604221,85.4721109336083
2018-03-12,90.5528515917809,93.2034817008762,85.9797575556486,89.2027815271379,87.6173888790196,87.0794634634164,100.169505425008,97.4296480476734,103.282982298417,86.4202411887208,74.2183233020178,97.5910725715548,80.4317038233705,92.3886664949139,87.9622298122943
2018-03-19,89.9196302262481,92.0462280404553,86.1626021837555,86.8566738953275,86.055668917009,85.8908624871385,98.7641411135108,99.2124122265211,103.85931088889,86.0356378812951,73.3625191079261,98.5159628867525,79.2834429966723,90.1458251091803,92.7370743063621
2018-03-26,89.886462485507,92.3316977976225,87.2141648490706,85.0934945819075,85.7777614049785,84.3363609892948,99.9913370274152,99.20663912917,102.514269172805,87.0609503011753,75.2525113437972,97.2289273695707,78.612369438547,85.6872069494861,92.2824625192088
2018-04-02,90.4989556801694,93.5324226497947,88.0124078178387,86.3231656532847,85.5620922018549,83.3214537305833,101.20719911867,100.732666121326,103.898228841474,86.934216431465,75.4779950856234,97.2586445700792,78.3560101027272,85.9500243265507,90.8582533095534
2018-04-09,90.3330370942289,94.286706661069,88.0991566696206,87.1470317611137,85.184235179262,82.4922526245389,101.204122068114,99.7870928783791,101.917501533571,85.9799132161355,75.1531412436331,96.9767172636046,77.9081453584767,89.4797391339847,84.6768541662798
2018-04-16,88.5415816774432,91.9482707379212,86.2585985362062,85.6396366918208,84.1385038066317,80.481579606049,97.4274137023578,98.1916775031818,99.9565548225237,83.0381698710892,74.3873758578644,96.7721793642819,76.7549290422964,92.2568855002043,84.1399310618235
2018-04-23,86.9509030505458,92.1869903160077,82.81071044658,82.9789486378876,82.191787945757,79.047813166984,95.2600320117963,97.2416194140326,96.1126826286358,82.4436942093424,70.9511121443728,96.5002648498519,75.8807009308527,91.8642302326345,83.589500751365
2018-04-30,86.5945076435885,91.8315080744286,81.431715468822,82.9415988395559,81.5982478598608,75.9193196737237,92.4473224373027,99.5829981488625,97.2648183138729,82.8744568194862,72.3351044612895,96.6827945661958,76.5266770808115,91.3978172006742,81.9175547570692
2018-05-07,87.3827749325908,92.2130494918231,82.1360297377483,83.5762957418742,82.4762016634593,76.8218312816315,92.0816933047179,100.344263388066,99.6187661366413,83.8616684730413,71.8147498507012,96.9314936111435,78.3637155066432,92.8938908848559,81.4552816182589
2018-05-14,87.4538031923364,91.299645321684,81.6981342248306,84.726842867306,84.2758316615864,77.1574043974098,91.6730678582955,100.136248858997,101.563616310156,83.6986713820755,76.0030396418373,96.9295861314217,79.5164523234372,89.9181073114593,77.1703187994374
2018-05-21,88.5158502397888,92.2748505447791,83.13905621354,84.7459348369864,87.0465521052227,81.4214042214902,96.0752789059986,98.5023395985781,102.201897082462,85.8153056674178,66.3981894382557,97.733157724868,79.4514163226911,85.3774098513287,79.1129772585082
2018-05-29,89.1684263048807,94.1867510261891,82.486245160705,86.5889916053397,88.5264498139044,83.2810037125226,96.3745011705871,99.3054960235555,103.353806676716,86.5036247524736,67.1291472589101,99.047631012446,79.3951097718526,85.1628495148462,78.31427951455
