date,All City,Chicago,Cincinnati,Columbus,Dallas,Houston,Las Vegas,Mesa,New York City,Philadelphia,Raleigh,Wichita,Arlington,Charlotte,Boston,Corpus Christi,El Paso,Kansas City,Memphis,Milwaukee,Phoenix,Portland,San Antonio,San Francisco,Seattle,Virginia Beach,Fort Worth,Oklahoma City,Omaha,Pittsburgh,New Orleans,Tucson,Albuquerque
02-01-2018,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
08-01-2018,101.3792308,101.5091699,100.811443,98.15662276,102.6300134,93.18336123,102.3782396,99.59917236,102.9791293,102.0170308,103.4986154,104.4789656,93.29712663,97.97394805,97.60247142,94.95971414,103.7467442,119.1788693,99.64569202,101.5564768,92.41230288,94.26596221,98.49504407,106.3619425,98.34119199,97.0557234,98.15707049,104.768192,102.2062253,100.6289856,93.72528185,96.7222068,104.5940358
16-01-2018,101.8837959,102.0975834,100.6189718,97.27896769,103.6889194,86.31837904,103.1734241,97.12151346,105.0039933,102.0815437,102.9281442,106.6332077,88.83922054,97.22893021,95.99816253,89.74781668,104.831095,126.4968427,98.12074912,101.7447127,88.25466022,90.49797087,100.3101578,108.6263587,98.5459019,97.24482747,96.86182833,104.1138935,102.2382579,101.4399912,88.34394522,98.50036992,109.0032861
22-01-2018,100.3686808,101.5179873,98.19938853,96.15136699,102.0158703,83.41648611,100.8738106,93.9713554,103.9344906,100.4042496,99.00910426,105.8198173,86.08712929,93.19120746,94.8175724,91.29733073,101.735804,121.6080037,95.80973074,98.76650309,88.05928091,90.75751956,96.65455877,104.6434108,96.96107834,96.74078827,96.08250991,102.6619,98.1687107,99.06339849,87.90258238,99.39391466,110.8797706
29-01-2018,98.66466271,101.8020184,95.76340518,93.28534064,99.82826999,80.35677564,95.91161117,88.86872539,102.5920972,97.42176418,97.10124749,103.0662249,82.81951609,95.7915014,92.46823719,88.12529605,99.9759277,101.2314564,95.3306781,93.99533309,85.82440122,88.88354194,93.89726767,100.6188531,96.15849563,97.13284755,95.82512906,97.053394,95.57773578,91.0767751,87.57900531,100.1490251,98.43829183
05-02-2018,96.62680723,101.3268991,93.85816544,90.58106158,98.57397965,79.33776088,96.21867244,87.33440969,100.2207327,97.26199754,97.1537822,99.67739131,80.12202406,96.38638595,90.30065655,87.49908468,96.02649722,94.04792316,93.47550208,89.93176271,84.42533849,88.57837654,86.32008425,97.13698541,92.86701925,94.2394591,94.81454597,92.87144771,93.19781526,85.34229904,90.49539759,93.18326691,84.92896477
12-02-2018,95.62219853,102.7945974,94.11681348,88.8059527,99.81879329,78.42330359,93.98234187,91.77642038,98.52905642,95.51681745,95.01173658,98.45074051,79.08411121,99.79238622,89.20590359,84.56889485,96.75114823,94.50788713,91.44859188,91.76493417,83.85840543,87.81053715,82.85526569,97.3222072,91.53261787,93.01528593,94.25010119,76.93653713,93.88836135,84.98368349,86.4045046,87.33858547,76.35005532
20-02-2018,94.85132362,101.5176235,94.98686347,88.43993516,100.0968873,81.41013703,92.23335491,98.7795882,97.31244285,95.20494968,94.55068972,98.63055089,77.12375795,95.67782506,88.48042582,86.45752561,94.85566464,102.547167,90.40843826,93.28579799,84.35953764,89.54640189,83.38007445,96.63024655,90.29454692,90.74916663,93.52272003,78.37870573,91.40771136,88.02285729,85.68231069,87.1042998,77.44627927
26-02-2018,94.86354451,101.2898049,94.5787671,87.96128826,98.2416349,82.37227525,88.08113368,109.1678111,97.43255922,91.61389116,93.44390766,99.70680245,76.58937102,93.67449993,89.68453191,85.76017147,96.74616526,106.0195398,91.72292785,93.7649197,83.82142933,89.3726751,86.06407881,96.93046163,89.5699237,89.16350708,93.46238409,73.85335207,94.11343553,89.19688592,83.94056302,89.7973,81.0707159
05-03-2018,94.4550201,99.17256904,94.27570495,87.72665283,98.45476539,82.47100418,89.00753205,115.8880679,97.38954371,91.67360362,97.22957319,99.7260568,74.45415369,93.55550799,82.23821692,81.73905428,95.58809488,113.1326152,94.21244568,87.51044281,82.26218896,86.78887923,89.20438471,95.75225251,89.8219889,89.21150554,92.50199052,81.20473271,95.51721216,87.89399499,83.50543788,86.88771064,84.28076846
12-03-2018,94.11030735,99.89159422,92.82928769,86.65511452,95.90077111,80.12140303,92.38957037,111.8748894,97.21219315,92.71925573,96.75855138,100.0497826,73.78584385,94.31708069,83.74876485,80.96394831,94.82987593,106.9414892,94.79834999,85.25810522,80.76181874,84.08398166,87.08759236,93.20404087,88.62751961,87.18485152,92.90076789,76.91026479,98.67748923,90.5688296,86.61767309,86.14919095,85.02660901
19-03-2018,93.81843393,101.2943129,93.27528276,86.02587527,97.99153744,80.31585164,93.18838898,104.1342818,95.87621496,93.96131322,97.64627881,99.66727797,77.51670871,93.847799,82.95129485,82.13479133,92.2880583,100.629244,94.9882893,85.88726031,80.69513725,85.76228131,89.91041559,93.30455004,89.41540576,87.42761714,92.41642211,78.61042554,96.07380238,91.95230921,90.61544822,86.43331514,84.45444721
26-03-2018,93.48381133,101.5783721,93.12687679,85.73209464,94.75951061,80.21700948,93.32323099,94.1741252,94.87542169,93.92892027,95.19839232,99.47191289,81.35912721,91.47235117,88.41302844,84.75375632,94.11485479,89.85626191,94.19927346,89.46295547,80.22685781,88.23793978,91.95464223,94.17771099,89.84948169,86.94421934,91.54469561,76.50073868,93.62394098,91.20453991,87.15240052,90.69319037,82.91038734
02-04-2018,93.48198965,100.8093168,93.36076146,86.33997,96.90994761,80.67249179,94.0820146,94.79768437,94.39012259,92.11413149,95.08896837,98.51411704,88.86249504,89.05908451,84.52507907,84.60586913,96.81585882,89.61029524,93.68298413,88.00895246,80.16250064,91.67932199,92.79336509,96.02110069,91.18953384,88.53552103,94.62884123,77.36418141,92.34155981,89.65251534,84.03299028,90.43524205,76.38846982
09-04-2018,92.52119632,99.58790232,92.12448291,86.05029997,94.66034537,80.94636852,93.62266103,93.5232964,93.23285611,91.78928482,93.99770832,97.10910678,84.94054401,87.12225893,84.04978816,83.42950242,98.43434144,88.42125501,92.14677863,84.63379859,78.9490011,89.05650242,89.18996805,94.79430976,90.8833229,88.52423383,95.13106936,77.27157577,90.87925013,89.64247629,77.10499128,89.23756731,73.12957214
16-04-2018,91.22545865,98.49733094,89.13145886,85.61459208,98.29095225,79.30390333,91.03170689,93.10129276,91.76757486,89.64292445,94.33339512,99.41442652,79.87323321,85.07494125,82.47037041,81.40218171,95.62498671,88.90366771,90.56046248,82.04803149,78.92235271,88.98411834,82.93879578,92.48887967,88.84645766,86.26996898,96.3553766,78.52471827,89.61153211,90.67709937,76.03486841,89.24366338,69.82465815
23-04-2018,89.88511939,98.40968948,89.21084365,85.1016107,95.79727337,78.84228971,88.36949953,89.96843237,90.06722251,90.40413298,92.56155613,101.4111985,70.67016875,84.79768399,82.50090996,79.1209243,91.83474433,82.60891032,87.78715375,82.43493442,77.31620468,83.85629425,80.58927192,91.25703002,87.5712545,83.77520274,91.45123763,79.05017309,88.19509907,90.7402218,77.85600885,80.90499554,69.78181623
